Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
36593,Cu 327.395,5.609999999999999,0.3111269837220812,,,5.39,5.83,,,,,,
36593,Fe 238.204,547.01,30.80157138848597,,,525.23,568.79,,,,,,
36593,Hg 184.887,,,,,,,,,,,,
36593,Hg 194.164,0.49,0.2262741699796952,,,0.33,0.65,,,,,,
36593,K 766.491,2053.82,78.05044650737119,,,1998.63,2109.01,,,,,,
36593,Mg 279.553,358.93,14.863384540541217,,,348.42,369.44,,,,,,
36593,Mg 285.213,363.04499999999996,15.407856762054884,,,352.15,373.94,,,,,,
36593,Mg 383.230,,,,,,,,,,,,
36593,Mn 257.610,6.245,0.5303300858899106,,,5.87,6.62,,,,,,
36593,Mn 346.032,,,,,,,,,,,,
36593,Mo 202.032,13.16,0.7212489168102781,,,12.65,13.67,,,,,,
36593,Mo 204.598,10.905,0.657609306503489,,,10.44,11.37,,,,,,
36593,Mo 313.259,13.265,1.0394469683442253,,,12.53,14.0,,,,,,
36593,Na 588.995,1276.2399999999998,51.095536008539916,,,1240.11,1312.37,,,,,,
36593,Na 589.592,1288.125,51.159175618846646,,,1251.95,1324.3,,,,,,
36593,Ni 225.385,4.625,0.34648232278140845,,,4.38,4.87,,,,,,
36593,Ni 227.877,2.43,2.6870057685088806,,,0.53,4.33,,,,,,
36593,P 213.618,5176.8150000000005,224.6124690439072,,,5017.99,5335.64,,,,,,
36593,P 215.294,,,,,,,,,,,,
36593,P 255.491,,,,,,,,,,,,
36593,Pb 220.353,0.49,0.14142135623730948,,,0.59,0.39,,,,,,
36593,Pb 266.315,,,,,,,,,,,,
36593,Pb 363.957,,,,,,,,,,,,
36593,Sb 206.834,2.955,2.1991020894901627,,,1.4,4.51,,,,,,
36593,Si 251.611,224.355,35.659394975237596,,,249.57,199.14,,,,,,
36593,Sn 189.925,1.085,1.6617009357883865,,,-0.09,2.26,,,,,,
36593,Ti 336.122,5.84,1.866761902332486,,,7.16,4.52,,,,,,
36593,V 319.068,2.265,0.28991378028648457,,,2.06,2.47,,,,,,
36593,Zn 213.857,38.765,12.169307704220481,,,47.37,30.16,,,,,,
36593,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
36594,Ag 328.068,,,,,,,,,,,,
36594,Al 308.215,0.6950000000000001,0.09192388155425117,,,0.76,0.63,,,,,,
36594,As 188.980,,,,,,,,,,,,
36594,As 193.696,-0.02,0.01414213562373095,,,-0.03,-0.01,,,,,,
36594,B 249.772,0.0,0.0,,,0.0,0.0,,,,,,
36594,Ca 422.673,310.78,0.848528137423849,,,311.38,310.18,,,,,,
36594,Ca 430.253,330.27,0.22627416997969038,,,330.43,330.11,,,,,,
36594,Ca 643.907,,,,,,,,,,,,
36594,Cd 214.439,0.0,0.0,,,0.0,0.0,,,,,,
36594,Co 231.497,0.175,0.06363961030678927,,,0.13,0.22,,,,,,
36594,Co 258.033,0.025,0.07778174593052023,,,0.08,-0.03,,,,,,
36594,Cr 266.602,-0.03,0.042426406871192854,,,-0.06,0.0,,,,,,
36594,Cr 267.716,0.03,0.0,,,0.03,0.03,,,,,,
36594,Cr 357.868,0.055,0.10606601717798214,,,-0.02,0.13,,,,,,
36594,Cu 324.754,0.01,0.01414213562373095,,,0.0,0.02,,,,,,
36594,Cu 327.395,0.02,0.01414213562373095,,,0.03,0.01,,,,,,
